Esta es la lista de las repeticiones: 

4020, 4600, 4160, 5408, 4272, 4088, 4248, 4555, 
4902, 3592, 4766, 4779, 3985, 3870, 4411, 4118, 
4169, 5173, 4811, 4909, 4059, 4767, 5808, 5724, 
4163, 5050, 4026, 3777, 4065, 4771, 4632, 4411, 
5330, 4270, 3678, 3698, 4600, 5290, 4678, 3787, 
4305, 4224, 4821, 5778, 5664, 5080, 4453, 4626, 
5202, 5218, 4483, 4513, 5320, 4623, 5260, 4103, 
6479, 6106, 5135, 4798, 4590, 4400, 4151, 4052, 
6487, 5395, 5293, 4039, 5023, 5535, 6229, 5804, 
5150, 5125, 4431, 4898, 4033, 4936, 5203, 3821, 
4801, 4589, 4083, 4173, 4309, 4042, 5243, 3544, 
5989, 5583, 3626, 5687, 6069, 4024, 4183, 5111, 
4507, 4887, 4027, 3843, 3937, 4936, 5458, 3880, 
6012, 5094, 5939, 4184, 6209, 5915, 5634, 6834, 
4180, 2746, 4008, 5126, 4337, 5912, 4629, 4730, 
6051, 3730, 4281, 5801, 5983, 6050, 4544, 5343, 
3886, 7305, 4992, 4274, 3760, 5249, 6233, 4090, 
4870, 5104, 5452, 3543, 4682, 4325, 4411, 8138, 
4346, 3588, 3589, 4926, 3519, 4008, 4690, 4581, 
7274, 3929, 4600, 3420, 4644, 4465, 4055, 3666, 
5682, 3906, 4263, 4283, 5781, 4188, 4945, 3638, 
3790, 5084, 5935, 6134, 4358, 4951, 4301, 6316, 
4674, 4408, 4103, 4535, 5201, 3476, 5401, 4319, 
5310, 5125, 4161, 4209, 4735, 4143, 3355, 4394, 
3676, 5762, 3852, 5599, 4570, 3962, 4484, 3490, 
4533, 4590, 4370, 3889, 4787, 3892, 5627, 4128, 
4057, 6397, 4783, 4738, 4888, 4331, 4787, 5256, 
3718, 3725, 4678, 4957, 4741, 4464, 5144, 3872, 
4160, 4273, 4774, 4533, 5154, 5072, 3898, 5201, 
4144, 4129, 4946, 5224, 4415, 4486, 5950, 4392, 
6096, 3635, 4645, 3526, 4884, 4107, 3994, 4133, 
4011, 5441, 5187, 4009, 5335, 5531, 3592, 4193, 
5506, 5476, 4212, 4170, 5173, 4429, 5329, 5002, 
7470, 4067, 4169, 3798, 4294, 5377, 4731, 5880, 
4247, 4321, 4126, 4658, 5751, 6239, 3844, 4964, 
5484, 4001, 4552, 4297, 5403, 6802, 3982, 3992, 
3881, 3528, 3861, 5799, 4139, 4490, 4032, 3885, 
4830, 4352, 5612, 3693, 4870, 4785, 4404, 4569, 
4004, 8308, 4094, 4217, 5277, 3200, 3962, 4299, 
3616, 4297, 5369, 4588, 4896, 5679, 6509, 7086, 
4058, 4240, 4055, 6464, 4295, 3693, 4770, 5983]
